id,district_id:id,name,cu_name
jurisdiction_pa_241,l10n_pa_edi.district_pa_35,PEÑAS CHATAS,5
jurisdiction_pa_242,l10n_pa_edi.district_pa_36,PARITA (CABECERA),1
jurisdiction_pa_243,l10n_pa_edi.district_pa_36,CABUYA,2
jurisdiction_pa_244,l10n_pa_edi.district_pa_36,LOS CASTILLOS,3
jurisdiction_pa_245,l10n_pa_edi.district_pa_36,LLANO DE LA CRUZ,4
jurisdiction_pa_246,l10n_pa_edi.district_pa_36,PARIS,5
jurisdiction_pa_247,l10n_pa_edi.district_pa_36,PORTOBELILLO,6
jurisdiction_pa_248,l10n_pa_edi.district_pa_36,POTUGA,7
jurisdiction_pa_249,l10n_pa_edi.district_pa_37,PESE (CABECERA),1
jurisdiction_pa_250,l10n_pa_edi.district_pa_37,LAS CABRAS (ESTE),2
jurisdiction_pa_251,l10n_pa_edi.district_pa_37,EL PAJARO (NORTE 1),3
jurisdiction_pa_252,l10n_pa_edi.district_pa_37,EL BARRERO (NORTE 2),4
jurisdiction_pa_253,l10n_pa_edi.district_pa_37,EL PEDREGOSO (OESTE 1),5
jurisdiction_pa_254,l10n_pa_edi.district_pa_37,EL CIRUELO (OESTE 2),6
jurisdiction_pa_255,l10n_pa_edi.district_pa_37,SABANAGRANDE (SUR 1),7
jurisdiction_pa_256,l10n_pa_edi.district_pa_37,RINCON HONDO (SUR 2),8
jurisdiction_pa_257,l10n_pa_edi.district_pa_38,SANTA MARIA (CABECERA),1
jurisdiction_pa_258,l10n_pa_edi.district_pa_38,CHUPAMPA,2
jurisdiction_pa_259,l10n_pa_edi.district_pa_38,EL RINCON,3
jurisdiction_pa_260,l10n_pa_edi.district_pa_39,GUARARE (CABECERA),1
jurisdiction_pa_261,l10n_pa_edi.district_pa_39,EL ESPINAL,2
jurisdiction_pa_262,l10n_pa_edi.district_pa_39,EL MACANO,3
jurisdiction_pa_263,l10n_pa_edi.district_pa_39,GUARARE ARRIBA,4
jurisdiction_pa_264,l10n_pa_edi.district_pa_39,LA ENEA,5
jurisdiction_pa_265,l10n_pa_edi.district_pa_39,LA PASERA,6
jurisdiction_pa_266,l10n_pa_edi.district_pa_39,LAS TRANCAS,7
jurisdiction_pa_267,l10n_pa_edi.district_pa_39,LLANO ABAJO,8
jurisdiction_pa_268,l10n_pa_edi.district_pa_40,LAS TABLAS (CABECERA),1
jurisdiction_pa_269,l10n_pa_edi.district_pa_40,BAJO CORRAL,2
jurisdiction_pa_270,l10n_pa_edi.district_pa_40,BAYANO,3
jurisdiction_pa_271,l10n_pa_edi.district_pa_40,EL CARATE,4
jurisdiction_pa_272,l10n_pa_edi.district_pa_40,EL COCAL,5
jurisdiction_pa_273,l10n_pa_edi.district_pa_40,EL MANANTIAL,6
jurisdiction_pa_274,l10n_pa_edi.district_pa_40,EL MUÑOZ,7
jurisdiction_pa_275,l10n_pa_edi.district_pa_40,EL PEDREGOSO,8
jurisdiction_pa_276,l10n_pa_edi.district_pa_40,LA LAJA,9
jurisdiction_pa_277,l10n_pa_edi.district_pa_40,LA MIEL,10
jurisdiction_pa_278,l10n_pa_edi.district_pa_40,LA PALMA,11
jurisdiction_pa_279,l10n_pa_edi.district_pa_40,LA TIZA,12
jurisdiction_pa_280,l10n_pa_edi.district_pa_40,LAS PALMITAS,13
jurisdiction_pa_281,l10n_pa_edi.district_pa_40,LAS TABLAS ABAJO,14
jurisdiction_pa_282,l10n_pa_edi.district_pa_40,NUARIO,15
jurisdiction_pa_283,l10n_pa_edi.district_pa_40,PALMIRA,16
jurisdiction_pa_284,l10n_pa_edi.district_pa_40,PEÑA BLANCA,17
jurisdiction_pa_285,l10n_pa_edi.district_pa_40,RIO HONDO,18
jurisdiction_pa_286,l10n_pa_edi.district_pa_40,SAN JOSE,19
jurisdiction_pa_287,l10n_pa_edi.district_pa_40,SAN MIGUEL,20
jurisdiction_pa_288,l10n_pa_edi.district_pa_40,SANTO DOMINGO,21
jurisdiction_pa_289,l10n_pa_edi.district_pa_40,SESTEADERO,22
jurisdiction_pa_290,l10n_pa_edi.district_pa_40,VALLE RICO,23
jurisdiction_pa_291,l10n_pa_edi.district_pa_40,VALLERRIQUITO,24
jurisdiction_pa_292,l10n_pa_edi.district_pa_41,LOS SANTOS (CABECERA),1
jurisdiction_pa_293,l10n_pa_edi.district_pa_41,EL GUASIMO,2
jurisdiction_pa_294,l10n_pa_edi.district_pa_41,LA COLORADA,3
jurisdiction_pa_295,l10n_pa_edi.district_pa_41,LA ESPIGADILLA,4
jurisdiction_pa_296,l10n_pa_edi.district_pa_41,LAS CRUCES,5
jurisdiction_pa_297,l10n_pa_edi.district_pa_41,LAS GUABAS,6
jurisdiction_pa_298,l10n_pa_edi.district_pa_41,LOS ANGELES,7
jurisdiction_pa_299,l10n_pa_edi.district_pa_41,LOS OLIVOS,8
jurisdiction_pa_300,l10n_pa_edi.district_pa_41,LLANO LARGO,9
jurisdiction_pa_301,l10n_pa_edi.district_pa_41,SABANA GRANDE,10
jurisdiction_pa_302,l10n_pa_edi.district_pa_41,SANTA ANA,11
jurisdiction_pa_303,l10n_pa_edi.district_pa_41,TRES QUEBRADAS,12
jurisdiction_pa_304,l10n_pa_edi.district_pa_42,MACARACAS (CABACERA),1
jurisdiction_pa_305,l10n_pa_edi.district_pa_42,BAHIA HONDA,2
jurisdiction_pa_306,l10n_pa_edi.district_pa_42,BAJOS DE GÜERA,3
jurisdiction_pa_307,l10n_pa_edi.district_pa_42,COROZAL,4
jurisdiction_pa_308,l10n_pa_edi.district_pa_42,CHUPA,5
jurisdiction_pa_309,l10n_pa_edi.district_pa_42,EL CEDRO (2),6
jurisdiction_pa_310,l10n_pa_edi.district_pa_42,ESPINO AMARILLO,7
jurisdiction_pa_311,l10n_pa_edi.district_pa_42,LA MESA,8
jurisdiction_pa_312,l10n_pa_edi.district_pa_42,LAS PALMAS,9
jurisdiction_pa_313,l10n_pa_edi.district_pa_42,LLANO DE PIEDRA,10
jurisdiction_pa_314,l10n_pa_edi.district_pa_42,MOGOLLON,11
jurisdiction_pa_315,l10n_pa_edi.district_pa_43,PEDASI (CABECERA),1
jurisdiction_pa_316,l10n_pa_edi.district_pa_43,LOS ASIENTOS,2
jurisdiction_pa_317,l10n_pa_edi.district_pa_43,MARIABE,3
jurisdiction_pa_318,l10n_pa_edi.district_pa_43,PURIO,4
jurisdiction_pa_319,l10n_pa_edi.district_pa_44,POCRI (CABECERA),1
jurisdiction_pa_320,l10n_pa_edi.district_pa_44,EL CAÑAFISTULO,2
jurisdiction_pa_321,l10n_pa_edi.district_pa_44,LAJAMINA,3
jurisdiction_pa_322,l10n_pa_edi.district_pa_44,PARAISO,4
jurisdiction_pa_323,l10n_pa_edi.district_pa_44,PARITILLA,5
jurisdiction_pa_324,l10n_pa_edi.district_pa_45,TONOSI (CABECERA),1
jurisdiction_pa_325,l10n_pa_edi.district_pa_45,ALTOS DE GUERA,2
jurisdiction_pa_326,l10n_pa_edi.district_pa_45,CAÑAS,3
jurisdiction_pa_327,l10n_pa_edi.district_pa_45,EL BEBEDERO,4
jurisdiction_pa_328,l10n_pa_edi.district_pa_45,EL CACAO,5
jurisdiction_pa_329,l10n_pa_edi.district_pa_45,EL CORTEZO,6
jurisdiction_pa_330,l10n_pa_edi.district_pa_45,FLORES,7
jurisdiction_pa_331,l10n_pa_edi.district_pa_45,GUANICO,8
jurisdiction_pa_332,l10n_pa_edi.district_pa_45,LA TRONOSA,9
jurisdiction_pa_333,l10n_pa_edi.district_pa_46,ARRAIJAN (CABECERA),1
jurisdiction_pa_334,l10n_pa_edi.district_pa_46,JUAN D. AROSEMENA,2
jurisdiction_pa_335,l10n_pa_edi.district_pa_46,NUEVO EMPERADOR,3
jurisdiction_pa_336,l10n_pa_edi.district_pa_46,SANTA CLARA,4
jurisdiction_pa_337,l10n_pa_edi.district_pa_46,VERACRUZ,5
jurisdiction_pa_338,l10n_pa_edi.district_pa_46,VISTA ALEGRE,6
jurisdiction_pa_339,l10n_pa_edi.district_pa_47,BALBOA (CABECERA),1
jurisdiction_pa_340,l10n_pa_edi.district_pa_47,LA ENSENADA,2
jurisdiction_pa_341,l10n_pa_edi.district_pa_47,LA ESMERALDA,3
jurisdiction_pa_342,l10n_pa_edi.district_pa_47,LA GUINEA,4
jurisdiction_pa_343,l10n_pa_edi.district_pa_47,PEDRO GONZALES,5
